Date,Matchup,Team,Player,Pos,BasePoints,BaseBounds,BaseAssists,BaseSteals,BaseBlocks,Base3PM,BaseMinutes,EnhPoints,EnhRebounds,EnhAssists,EnhMinutes,PointsBoost,HasInjuryAdj,HasEnhancement,HasGameScript,StarTier,Usage,FGPct,IsHome,GamesPlayed,LastUpdated
2025-11-04,MIL @ TOR,MIL,Giannis Antetokounmpo,PF,34.0,11.5,7.3,1.5,1.3,0.8,32.6,36.0,11.5,7.3,32.6,2.0,N,Y,N,Superstar,34.6,68.4,N,4,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,MIL,Ryan Rollins,PG,19.4,3.6,7.0,2.0,0.0,2.4,32.2,20.9,3.6,7.0,32.2,1.5,N,Y,N,Star,22.0,59.4,N,5,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,MIL,Gary Trent Jr.,SG,11.6,1.4,2.4,1.6,0.0,2.4,31.0,11.6,1.4,2.4,31.0,0.0,N,N,N,Key Role,15.9,35.3,N,5,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,MIL,Myles Turner,C,10.6,6.2,1.8,0.6,2.2,2.2,29.4,12.1,6.2,1.8,29.4,1.5,N,Y,N,Star,15.9,44.2,N,5,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,MIL,AJ Green,SG,13.8,2.6,1.4,0.2,0.0,3.6,29.3,13.8,2.6,1.4,29.3,0.0,N,N,N,Key Role,14.8,53.7,N,5,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,MIL,Kyle Kuzma,SF,13.0,4.8,1.5,0.3,0.0,0.5,23.2,13.0,4.8,1.5,23.2,0.0,N,N,N,Key Role,22.3,51.4,N,4,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,MIL,Taurean Prince,SF,7.0,1.8,0.4,0.8,0.4,1.6,21.0,7.0,1.8,0.4,21.0,0.0,N,N,N,Bench,11.3,50.0,N,5,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,MIL,Cole Anthony,SG,8.5,3.3,5.0,0.5,0.5,1.3,20.4,8.5,3.3,5.0,20.4,0.0,N,N,N,Key Role,23.1,41.2,N,4,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,MIL,Bobby Portis,SF,11.0,4.6,1.2,0.2,0.2,1.8,19.3,11.0,4.6,1.2,19.3,0.0,N,N,N,Key Role,24.6,47.8,N,5,2025-11-05T00:38:19.727Z
2025-11-04,MIL @ TOR,TOR,Brandon Ingram,SF,22.2,5.2,4.2,1.0,0.4,1.6,33.1,23.7,5.2,4.2,33.1,1.5,N,Y,N,Star,24.4,58.9,Y,5,2025-11-05T00:38:19.727Z
