Date,Matchup,Team,Player,Pos,BasePoints,BaseBounds,BaseAssists,BaseSteals,BaseBlocks,Base3PM,BaseMinutes,EnhPoints,EnhRebounds,EnhAssists,EnhMinutes,PointsBoost,HasInjuryAdj,HasEnhancement,HasGameScript,StarTier,Usage,FGPct,IsHome,GamesPlayed,LastUpdated
2025-10-31,ATL @ IND,ATL,Onyeka Okongwu,PF,17.5,9.9,2.8,0.6,1.0,1.2,31.0,20.0,9.9,2.8,31.0,2.5,Y,Y,N,Star,17.8,54.5,N,5,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,ATL,Jalen Johnson,PF,23.6,7.5,4.9,1.5,0.3,0.3,30.5,26.1,7.5,4.9,30.5,2.5,Y,Y,N,Star,24.0,57.9,N,4,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,ATL,Dyson Daniels,SG,6.2,5.8,3.4,2.2,0.6,0.2,30.1,7.2,5.8,3.4,30.1,1.0,Y,N,N,Key Role,13.4,31.4,N,5,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,ATL,Nickeil Alexander-Walker,SG,18.6,3.0,3.7,1.4,1.0,2.2,30.1,21.1,3.0,3.7,30.1,2.5,Y,Y,N,Star,23.4,40.8,N,5,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,ATL,Trae Young,PG,17.8,2.0,7.8,0.8,0.2,1.0,27.8,19.3,2.0,7.8,27.8,1.5,N,Y,N,Star,27.6,37.1,N,5,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,ATL,Kristaps Porziņģis,PF,23.3,5.4,4.3,0.7,1.0,3.0,25.2,25.8,5.4,4.3,25.2,2.5,Y,Y,N,Star,26.6,51.2,N,3,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,ATL,Luke Kennard,SG,9.4,2.4,2.8,0.6,0.2,1.4,24.6,10.4,2.4,2.8,24.6,1.0,Y,N,N,Key Role,12.8,51.9,N,5,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,ATL,Zaccharie Risacher,SF,10.0,1.8,0.0,0.3,0.7,1.0,22.9,11.0,1.8,0.0,22.9,1.0,Y,N,N,Bench,15.6,40.0,N,3,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,ATL,Vít Krejčí,SG,10.3,2.1,1.1,1.0,0.0,2.0,17.9,11.3,2.1,1.1,17.9,1.0,Y,N,N,Bench,18.0,46.2,N,2,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,IND,Bennedict Mathurin,SG,35.6,7.5,2.9,0.0,0.0,2.5,36.4,38.6,7.5,2.9,36.4,3.0,Y,Y,N,Superstar,26.7,54.8,Y,2,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,IND,Pascal Siakam,PF,35.5,12.9,7.2,1.5,0.3,2.5,35.8,38.5,12.9,7.2,35.8,3.0,Y,Y,N,Superstar,29.1,44.0,Y,4,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,IND,Aaron Nesmith,SG,14.6,5.6,1.4,0.0,0.5,2.8,32.5,15.6,5.6,1.4,32.5,1.0,Y,N,N,Key Role,16.8,29.4,Y,4,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,IND,Ben Sheppard,SG,11.5,8.0,3.8,0.5,0.3,1.0,30.1,12.5,8.0,3.8,30.1,1.0,Y,N,N,Key Role,14.1,34.3,Y,4,2025-10-31T19:56:09.883Z
2025-10-31,ATL @ IND,IND,Jarace Walker,PF,14.9,7.1,5.4,1.0,0.8,2.0,29.8,17.4,7.1,5.4,29.8,2.5,Y,Y,N,Star,20.3,29.4,Y,4,2025-10-31T19:56:09.883Z
