Date,Matchup,Team,Player,Pos,BasePoints,BaseBounds,BaseAssists,BaseSteals,BaseBlocks,Base3PM,BaseMinutes,EnhPoints,EnhRebounds,EnhAssists,EnhMinutes,PointsBoost,HasInjuryAdj,HasEnhancement,HasGameScript,StarTier,Usage,FGPct,IsHome,GamesPlayed,LastUpdated
2025-11-03,MIN @ BKN,MIN,Jaden McDaniels,PF,20.7,4.5,2.1,0.4,1.4,1.4,34.1,23.2,4.5,2.1,34.1,2.5,Y,Y,N,Star,21.4,50.0,N,5,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,MIN,Julius Randle,SF,33.1,6.9,5.8,1.0,0.2,2.6,34.1,36.1,6.9,5.8,34.1,3.0,Y,Y,N,Superstar,28.8,56.8,N,5,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,MIN,Rudy Gobert,C,10.8,11.0,2.5,0.6,1.6,0.0,32.4,13.3,11.0,2.5,32.4,2.5,Y,Y,N,Star,11.1,66.7,N,5,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,MIN,Donte DiVincenzo,SG,17.0,2.6,4.8,1.2,0.0,3.4,32.2,19.5,2.6,4.8,32.2,2.5,Y,Y,N,Star,16.1,42.3,N,5,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,MIN,Naz Reid,C,14.3,6.4,1.8,0.8,0.6,1.6,23.5,15.3,6.4,1.8,23.5,1.0,Y,N,N,Key Role,24.7,42.9,N,5,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,MIN,Mike Conley,SG,7.8,2.8,4.8,1.0,0.6,1.2,23.3,8.8,2.8,4.8,23.3,1.0,Y,N,N,Key Role,13.2,37.0,N,5,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,MIN,Anthony Edwards,SG,18.0,2.5,2.5,0.0,0.5,2.0,18.9,19.5,2.5,2.5,18.9,1.5,N,Y,N,Star,33.7,54.2,N,2,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,MIN,Jaylen Clark,SG,8.0,2.1,0.3,0.7,0.0,0.3,15.9,9.0,2.1,0.3,15.9,1.0,Y,N,N,Bench,15.2,53.3,N,3,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,MIN,Terrence Shannon Jr.,SG,3.2,2.4,0.5,0.6,0.0,0.4,15.3,4.2,2.4,0.5,15.3,1.0,Y,N,N,Bench,13.0,22.2,N,5,2025-11-03T23:11:07.405Z
2025-11-03,MIN @ BKN,BKN,Michael Porter Jr.,PF,22.6,8.8,2.6,0.8,0.2,3.0,33.2,24.1,8.8,2.6,33.2,1.5,N,Y,N,Star,26.3,48.4,Y,5,2025-11-03T23:11:07.405Z
